Date,VOOV,EZU,IWM,SMH,IBB,XLU,VOOG,SPY,QQQ
11/20/15,87.39,36.28,116.81,54.79,111.16,43.39,106.5,209.31,114.48
11/23/15,87.27,36.06,117.39,54.17,111.97,42.99,106.4,209.07,114.15
11/24/15,87.58,35.94,118.25,54.74,111.76,42.93,106.4,209.35,114.05
11/25/15,87.5,36.2,119.17,54.82,112.95,42.67,106.51,209.32,114.15
11/27/15,87.56,36.51,119.62,55.09,113.67,42.75,106.56,209.56,114.31
11/30/15,87.4,36.56,119.1,55.8,111.46,42.82,105.9,208.69,114.02
12/1/15,88.19,36.67,119.89,56.46,112.05,43.16,107.05,210.68,115.16
12/2/15,86.98,36.15,118.6,56.24,111.31,42.2,106.15,208.53,114.45
12/3/15,85.87,36.02,116.6,55.86,107.32,41.88,104.47,205.61,112.51
12/4/15,87.51,36.44,117.78,56.8,110.57,42.47,106.73,209.62,115.14
12/7/15,86.78,36.34,116.01,56.33,108.09,42.66,106.13,208.35,114.62
12/8/15,85.91,35.78,115.37,55.82,110.2,42.6,105.9,206.95,114.63
12/9/15,85.41,35.64,114.08,55.23,108.4,42.61,104.66,205.34,112.89
12/10/15,85.68,35.54,114.46,55.43,109.8,41.91,105.05,205.87,113.4
12/11/15,84,34.88,111.91,54.36,106.63,41.79,103.04,201.88,110.79
12/14/15,84.3,34.87,111.11,53.95,106.95,42,103.53,202.9,111.63
12/15/15,85.67,35.22,112.71,54.8,110,42.33,104.31,205.03,112.31
12/16/15,86.82,35.84,114.43,55.23,112.47,43.4,105.87,208.03,113.98
12/17/15,84.87,35.48,113.21,54.49,110.71,43.49,103.9,204.86,112.32
12/18/15,83.46,35.01,111.48,53.74,110.5,42.51,102.01,200.02,109.83
12/21/15,84.02,35.06,112.32,53.52,110.71,42.48,102.61,201.67,111.05
12/22/15,85.04,35.28,113.35,53.75,110.89,42.84,103.54,203.5,111.78
12/23/15,86.33,35.84,114.78,54.04,112.9,43.5,104.51,206.02,112.61
12/24/15,86.31,35.8,114.5,54.19,113.26,43.47,104.4,205.68,112.59
12/28/15,85.78,35.66,113.97,54.06,112.41,43.55,104.34,205.21,112.53
12/29/15,86.55,36,115.2,54.66,114.37,43.79,105.64,207.4,114.3
12/30/15,85.97,35.64,114.04,54.13,113.62,43.75,104.96,205.93,113.27
12/31/15,85.25,35.04,112.62,53.28,112.78,43.28,103.78,203.87,111.86
1/4/16,84.12,34.47,110.01,52.72,108.96,43.19,101.89,201.02,109.5
1/5/16,84.42,34.17,110.25,52.23,108.99,43.5,102.09,201.36,109.31
1/6/16,83.16,33.61,108.57,50.88,107.04,43.42,101.06,198.82,108.26
1/7/16,81.32,33.14,105.67,49.31,102.59,43.13,98.54,194.05,104.87
1/8/16,80.3,32.84,103.85,48.53,100.73,43.11,97.54,191.92,104.01
1/11/16,80.19,33.02,103.4,48.97,97.23,43.34,97.82,192.11,104.33
1/12/16,80.68,33.47,103.71,49.39,98.73,43.17,98.93,193.66,105.54
1/13/16,78.94,32.81,100.38,47.94,93.38,43.15,95.94,188.83,101.9
1/14/16,80.27,33.12,101.77,49.21,97.15,43.8,97.6,191.93,104.07
1/15/16,78.52,31.97,100.12,46.7,94.73,43.41,95.43,187.81,100.84
1/19/16,78.48,32.24,98.77,47.01,92.61,44.06,95.71,188.06,101.06
1/20/16,77.37,31.59,99.18,47.13,95.16,43.07,94.86,185.65,100.75
1/21/16,77.79,31.98,98.95,47.78,92.92,43.03,95.19,186.69,100.85
1/22/16,79.21,32.77,101.37,48.69,96.01,43.8,97.43,190.52,103.77
1/25/16,77.7,32.33,99.12,48.14,94.4,43.43,96.26,187.64,102.23
1/26/16,79.07,33.04,101.1,48.55,94.03,43.73,97.2,190.2,103.15
1/27/16,78.66,32.74,99.71,48.01,91.13,43.83,95.59,188.13,100.58
1/28/16,79.09,32.77,99.69,47.76,87.82,44.53,96.27,189.11,102
1/29/16,80.87,33.2,102.96,49.72,89.02,45.42,98.46,193.72,104.13
2/1/16,80.91,33.12,102.49,49.94,89.51,45.85,98.67,193.65,104.41
2/2/16,79.3,32.17,100.28,48.57,87,46.05,97.03,190.16,102.15
2/3/16,80.04,32.69,100.41,48.64,88,46.62,96.85,191.3,101.66
2/4/16,80.55,32.76,100.8,49.58,88.23,46.42,96.84,191.6,101.65
2/5/16,79.57,32.22,98.04,47.85,85.41,46.57,94.09,187.95,98.12
2/8/16,78.81,31.33,96.43,46.83,82.71,46.41,92.72,185.42,96.62
2/9/16,78.6,31.08,95.78,46.63,82.8,46.57,92.85,185.43,96.32
2/10/16,78.37,31.21,95.83,45.96,83.31,46.52,93.29,185.27,96.69
2/11/16,77.08,30.75,94.79,45.63,81.35,45.7,92.49,182.86,96.55
2/12/16,78.91,31.12,96.59,46.53,83.73,45.56,93.91,186.63,98.02
2/16/16,80.07,32.14,98.88,48.11,86.24,45.85,95.64,189.78,100.23
2/17/16,81.33,32.46,100.43,49.26,88.77,45.76,97.34,192.88,102.5
2/18/16,81.14,32.18,99.95,49.06,86.47,46.51,96.68,192.09,101.33
2/19/16,80.93,32.13,100.45,49.15,87.28,46.2,96.94,192,101.63
2/22/16,82.18,32.46,101.57,49.95,87.87,46.74,98.25,194.78,103.28
2/23/16,81.11,31.97,100.64,49.11,85.81,46.78,97.18,192.32,101.58
2/24/16,81.33,31.67,101.61,49.74,86.26,47,97.64,193.2,102.55
